time,FL_foot_torque,FR_foot_torque,RL_foot_torque,RR_foot_torque,FL_leg_torque,FR_leg_torque,RL_leg_torque,RR_leg_torque,FL_shoulder_torque,FR_shoulder_torque,RL_shoulder_torque,RR_shoulder_torque
0.0,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,4.1519552180216624e-05,-4.3005133862912046e-05,-9.179080667342589e-05,9.263131199233392e-05
0.002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.00016158490975523508,-0.0001673262372926788,-0.0003525826151920458,0.0003558257889122786
0.004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0003467930307677154,-0.0003589905862448995,-0.0007425989366871126,0.0007494879509059656
0.006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0005880539965461135,-0.0006084733824414018,-0.0012290028728224633,0.0012405098766308837
0.008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0008780124392323624,-0.0009080434703852599,-0.0017823259284449984,0.0017991748704946173
0.01,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0012105583857191468,-0.001251265620128495,-0.002376486390204288,0.002399177139833289
0.012,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0015804699774956937,-0.0016326362018028717,-0.0029887101256373485,0.0030175428890579217
0.014,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0019831562090732095,-0.002047320091951227,-0.0035993842448130272,0.0036344835563436105
0.016,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.002414474971147759,-0.0024909638575985765,-0.0041918667625057745,0.004233204549108501
0.018000000000000002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.002870607293466797,-0.0029595659223295963,-0.004752269687538499,0.004799687071696659
0.020000000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.003347973078792482,-0.0034493888543384857,-0.0052692285157725375,0.005322456148018116
0.022000000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0038431770586056626,-0.003956902386806011,-0.005733667649854338,0.005792344456828178
0.024000000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.00435297638541796,-0.0044787484898664185,-0.006138568601681909,0.006202258905482156
0.02600000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.0048742633658748254,-0.005011721922308474,-0.006478745785108505,0.0065469548004107965
0.02800000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.00540405846002803,-0.005552761327858437,-0.006750633143566642,0.006822820894971615
0.030000000000000013,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.005939509925572602,-0.006098947206600047,-0.00695208367450014,0.007027677401237029
0.032000000000000015,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.006477897450832064,-0.006647504066815866,-0.007082183026133139,0.007160588157335448
0.034000000000000016,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.007016637859532358,-0.007195804809509445,-0.007141077686101279,0.00722168747949311
0.03600000000000002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.007553291533410891,-0.007741375966989779,-0.007129817803694426,0.007212021745336501
0.03800000000000002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.008085568624467913,-0.008281902847505653,-0.00705021434688488,0.007133405410909238
0.04000000000000002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.008611334447886122,-0.008815233960974674,-0.006904710059727545,0.006988290925728701
0.04200000000000002,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.009128613683451244,-0.00933938434069862,-0.006696263529896973,0.00677965185260443
0.044000000000000025,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.009635593186631283,-0.009852537551689551,-0.006428245580382891,0.00651087840199449
0.04600000000000003,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.010130623335135938,-0.010353046302801535,-0.006104347148386265,0.00618568453893217
0.04800000000000003,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.010612217924357065,-0.010839431668952081,-0.005728497796377448,0.005808025802038909
0.05000000000000003,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.011079052684604802,-0.011310380990427311,-0.005304794005946838,0.005382026979615334
0.05200000000000003,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.011529962531507874,-0.011764744555666397,-0.004837436427479219,0.004911918810187225
0.054000000000000034,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01196393768376275,-0.012201531197488652,-0.004330675292468215,0.004401982908778812
0.056000000000000036,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.012380118793775381,-0.012619902944682668,-0.003788763236413787,0.003856504161510234
0.05800000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.012777791239848648,-0.013019168874461152,-0.003215914825685888,0.003279729876811751
0.06000000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.013156378725875892,-0.013398778308971331,-0.002616272129250858,0.0026758350293520795
0.06200000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.013515436327860519,-0.013758313492714098,-0.001993875724111866,0.0020488929810431786
0.06400000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.013854643117388318,-0.014097481878776148,-0.0013526405705457942,0.0014028511110319227
0.06600000000000004,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.014173794481470006,-0.014416108141268622,-0.0006963362389184611,0.0007415108326035191
0.06800000000000005,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.014472794246708942,-0.014714126020065513,-2.857101349053207e-05,6.851151885868474e-05
0.07000000000000005,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.014751646704083653,-0.014991570092404035,0.0006472205601458784,-0.0006126820994516843
0.07200000000000005,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015010448619156087,-0.015248567554542947,0.0013277870787178597,-0.0012987894616296905
0.07400000000000005,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015249381301490497,-0.01548533008574466,0.002010066994742641,-0.0019867209917199704
0.07600000000000005,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015468702796669228,-0.015702145856530948,0.0026911929652158662,-0.0026735825280538336
0.07800000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015668740254625023,-0.015899371733568375,0.003368494130162727,-0.0033566776645382584
0.08000000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015849882519129707,-0.016077425724725005,0.00403949658742777,-0.004033508272101418
0.08200000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016012572975203324,-0.016236779699823407,0.004701922304164234,-0.004701773442599462
0.08400000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01615730268392757,-0.01637795241538979,0.00535368668178193,-0.005359367073611729
0.08600000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016284603827635954,-0.016501502865239052,0.0059928949694757275,-0.006004374290754038
0.08800000000000006,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016395043482671352,-0.016608023973002616,0.006617837701734649,-0.006635066884271437
0.09000000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01648921773180403,-0.016698136637655094,0.007226985317277136,-0.007249897918584363
0.09200000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016567746123939,-0.016772484138676658,0.007818982100528834,-0.007847495657012154
0.09400000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01663126648485957,-0.016831726903649837,0.008392639571919729,-0.008426656928948848
0.09600000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01668043007940227,-0.016876537637780367,0.008946929439800156,-0.008986340053189684
0.09800000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016715897122587312,-0.016907596812002403,0.009480976214540767,-0.009525657418782495
0.10000000000000007,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016738332634790628,-0.016925588503930947,0.009994049574279856,-0.010043867813595082
0.10200000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016748402633993038,-0.016931196583913854,0.010485556561710144,-0.01054036858064512
0.10400000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016746770656437867,-0.016925101236770636,0.010955033682163298,-0.011014687673038533
0.10600000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016734094595631556,-0.01690797580844664,0.011402138964968044,-0.01146647567001996
0.10800000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016711023848496907,-0.01688048396572383,0.011826644042549126,-0.011895497809075879
0.11000000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016678196756603637,-0.016843277156280853,0.012228426294928447,-0.012301626082175795
0.11200000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016636238329726476,-0.016796992355756542,0.01260746110112207,-0.012684831438024846
0.11400000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01658575823849093,-0.016742250088015265,0.012963814233339244,-0.013045176126573165
0.11600000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016527349062537004,-0.016679652704516913,0.013297634424828902,-0.01338280621693031
0.11800000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016461584780440807,-0.016609782908536586,0.013609146137637881,-0.013697944315218591
0.12000000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01638901948756395,-0.016533202509940857,0.01389864255239986,-0.013990882504723906
0.1220000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01631018632803379,-0.016450451396291626,0.0141664787985256,-0.014261975526927023
0.1240000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.016225596627179383,-0.016362046706200048,0.01441306543977853,-0.014511634218586844
0.12600000000000008,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01613573921094472,-0.016268482191078515,0.014638862227162647,-0.01474031921696767
0.12800000000000009,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01604107989906077,-0.016170227751726496,0.014844372128293629,-0.0149485349425258
0.1300000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.01594206115907097,-0.016067729136525405,0.015030135639942713,-0.015136823865870837
0.1320000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015839101908661047,-0.015961407788399995,0.0151967253882126,-0.015305761063569652
0.1340000000000001,-3.43,-3.43,-3.43,-3.43,3.43,3.43,3.43,3.43,0.015732597454136566,-0.015851660828120246,0.015344741018804104,-0.015455949065344995
0.1360000000000001,-3.43,-3.43,-3.43,-3.43,3.361763645872893,3.3614027983165684,3.3617736617915437,3.3612813782315474,0.01562291955331191,-0.015738861161961968,0.015474804378041999,-0.015588012993416025
0.1380000000000001,-3.43,-3.43,-3.43,-3.43,3.1337670548407974,3.133409014821794,3.1337688773557435,3.1332799461382574,0.015492096544205065,-0.015604845550174211,0.015580928637255232,-0.015695874235835766
0.1400000000000001,-3.43,-3.43,-3.43,-3.43,2.9074638855589097,2.907109817814682,2.907484723668775,2.9070009174412963,0.015314289752700898,-0.015423480610999067,0.01565361616952551,-0.015769925271260147
0.1420000000000001,-3.43,-3.43,-3.43,-3.43,2.6842726138089628,2.6839227651741453,2.684359111002113,2.683881072407207,0.015054709354993773,-0.015159565751988681,0.01567948061452786,-0.01579664568138943
0.1440000000000001,-3.43,-3.43,-3.43,-3.43,2.4653248459629626,2.464978793136005,2.465537242199332,2.4650647828599634,0.014688582936209081,-0.014788042134863724,0.015647992726792983,-0.015765409858152484
0.1460000000000001,-3.43,-3.43,-3.43,-3.43,2.2516163145287216,2.251273095292108,2.2520251965349516,2.251557454482608,0.014196609026302598,-0.014289389426945801,0.015550203608056059,-0.015667193379647646
0.1480000000000001,-3.43,-3.43,-3.43,-3.43,2.0440136219159104,2.043671856002545,2.0446968730500448,2.0442324582391294,0.013564630659113317,-0.013649294036730392,0.015378844522671882,-0.015494672126070665
0.1500000000000001,-3.43,-3.43,-3.43,-3.43,1.8432611493045936,1.8429191486467804,1.844301114562965,1.8438382420630184,0.012783291831226623,-0.012858300253706758,0.015128390857929483,-0.015242285384845209
0.1520000000000001,-3.43,-3.43,-3.43,-3.43,1.6499880711752883,1.6496439394533002,1.6514689510316707,1.65100556169517,0.011847676630955048,-0.011911444065596364,0.014795088459014952,-0.014906261163896933
0.1540000000000001,-3.43,-3.43,-3.43,-3.43,1.4675115615896068,1.467577157885117,1.4695431583641607,1.4681955665668731,0.011282730248794302,-0.01194561128642586,0.011886217011592714,-0.014221899811083603
