time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
2.640000000000002,0.0,40.0,188.12122142720025,38.38662617381956,90.0,103.22674765236088,51.61337382618044,90.0,256.77325234763913
2.660000000000002,0.0,-41.90526259200006,189.33578670080027,37.26521092547813,87.53795034956472,109.02087034467012,127.26521092547813,92.46204965043528,124.02087034467012
2.660000000000002,0.0,-40.0,191.2410492928003,37.1708222607625,90.0,105.658355478475,127.17082226076249,90.0,105.658355478475
2.660000000000002,0.0,40.0,191.2410492928003,37.1708222607625,90.0,105.658355478475,52.8291777392375,90.0,254.34164452152498
2.660000000000002,0.0,40.0,191.2410492928003,37.1708222607625,90.0,105.658355478475,52.8291777392375,90.0,254.34164452152498
2.680000000000002,0.0,-42.508973056000066,192.2939679744003,35.811139438143464,87.75770819165777,111.75295952528269,125.81113943814347,92.24229180834223,126.75295952528269
2.680000000000002,0.0,-40.0,194.80294103040035,35.739707633302665,90.0,108.52058473339468,125.73970763330266,90.0,108.52058473339468
2.680000000000002,0.0,40.0,194.80294103040035,35.739707633302665,90.0,108.52058473339468,54.260292366697335,90.0,251.47941526660532
2.680000000000002,0.0,40.0,194.80294103040035,35.739707633302665,90.0,108.52058473339468,54.260292366697335,90.0,251.47941526660532
2.700000000000002,0.0,-43.17440000000007,195.55456000000032,34.15202104622947,87.99197994043801,114.87671938701868,124.15202104622946,92.00802005956199,129.87671938701868
2.700000000000002,0.0,-40.0,198.7289600000004,34.102350597939854,90.00000000000001,111.7952988041203,124.10235059793985,89.99999999999999,111.7952988041203
2.700000000000002,0.0,40.0,198.7289600000004,34.102350597939854,90.00000000000001,111.7952988041203,55.897649402060146,90.00000000000001,248.2047011958797
2.700000000000002,0.0,40.0,198.7289600000004,34.102350597939854,90.00000000000001,111.7952988041203,55.897649402060146,90.00000000000001,248.2047011958797
2.720000000000002,0.0,-43.885753344000065,199.04019138560034,32.30233431306475,88.23366842644204,118.36664340880003,122.30233431306475,91.76633157355796,133.36664340880003
2.720000000000002,0.0,-40.0,202.92594472960042,32.271795727682985,90.0,115.45640854463404,122.27179572768298,90.0,115.45640854463404
2.720000000000002,0.0,40.0,202.92594472960042,32.271795727682985,90.0,115.45640854463404,57.728204272317015,90.0,244.54359145536597
2.720000000000002,0.0,40.0,202.92594472960042,32.271795727682985,90.0,115.45640854463404,57.728204272317015,90.0,244.54359145536597
2.740000000000002,0.0,-44.625399808000076,202.66445905920034,30.279819796067013,88.47589018208703,122.1907046688331,120.27981979606702,91.52410981791297,137.19070466883312
2.740000000000002,0.0,-40.0,207.28985886720042,30.26452737524067,90.0,119.47094524951866,120.26452737524068,90.0,119.47094524951866
2.740000000000002,0.0,40.0,207.28985886720042,30.26452737524067,90.0,119.47094524951866,59.735472624759325,90.0,240.52905475048135
2.740000000000002,0.0,40.0,207.28985886720042,30.26452737524067,90.0,119.47094524951866,59.735472624759325,90.0,240.52905475048135
2.760000000000002,0.0,-45.37460019200008,206.33554094080037,28.105113810038006,88.7123168860161,126.31093904983587,118.105113810038,91.2876831139839,141.31093904983587
2.760000000000002,0.0,-40.0,211.71014113280043,28.100155456326075,90.0,123.79968908734786,118.10015545632608,90.0,123.79968908734786
2.760000000000002,0.0,40.0,211.71014113280043,28.100155456326075,90.0,123.79968908734786,61.89984454367392,90.0,236.20031091265213
2.760000000000002,0.0,40.0,211.71014113280043,28.100155456326075,90.0,123.79968908734786,61.89984454367392,90.0,236.20031091265213
2.780000000000002,0.0,-46.11424665600008,209.95980861440034,25.80166968455917,88.93739457894739,130.6835333817631,115.80166968455917,91.06260542105261,145.6835333817631
