time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
0.0,-10.0,-50.0,180.0,43.587451634928,90.0,103.13655878694486,133.58745163492802,90.0,118.13655878694486
0.0,10.0,-50.0,180.0,37.22779139519953,90.0,103.13655878694486,127.22779139519953,90.0,103.13655878694486
0.0,10.0,50.0,180.0,37.22779139519953,90.0,103.13655878694486,52.77220860480047,90.0,256.8634412130551
0.0,-10.0,50.0,180.0,43.587451634928,90.0,103.13655878694486,46.412548365072,90.0,256.8634412130551
0.02,-9.921147013144779,-50.0,182.50666467128607,42.43311260099356,90.0,105.16698203823204,132.43311260099355,90.0,120.16698203823204
0.02,9.2,-50.0,180.0,37.50004265694391,90.0,103.10232964513547,127.50004265694392,90.0,103.10232964513547
0.02,9.2,50.0,180.0,37.50004265694391,90.0,103.10232964513547,52.49995734305609,90.0,256.89767035486454
0.02,-9.921147013144779,50.0,182.50666467128607,42.43311260099356,90.0,105.16698203823204,47.56688739900644,90.0,254.83301796176795
0.04,-9.68583161128631,-50.0,184.9737977432971,41.23049657134007,90.00000000000001,107.20551775926761,131.23049657134007,89.99999999999999,122.20551775926761
0.04,8.399999999999999,-50.0,180.0,37.77088010090891,90.0,103.07095711264556,127.77088010090891,90.0,103.07095711264556
0.04,8.399999999999999,50.0,180.0,37.77088010090891,90.0,103.07095711264556,52.22911989909109,90.0,256.92904288735446
0.04,-9.68583161128631,50.0,184.9737977432971,41.23049657134007,90.00000000000001,107.20551775926761,48.76950342865993,90.00000000000001,252.7944822407324
0.06,-9.297764858882514,-50.0,187.36249105369356,39.99962033115562,90.0,109.22084993498926,129.99962033115563,90.0,124.22084993498926
0.06,7.599999999999998,-50.0,180.0,38.04029426860824,90.0,103.04244008933651,128.04029426860825,90.0,103.04244008933651
0.06,7.599999999999998,50.0,180.0,38.04029426860824,90.0,103.04244008933651,51.95970573139176,90.0,256.95755991066346
0.06,-9.297764858882514,50.0,187.36249105369356,39.99962033115562,90.0,109.22084993498926,50.00037966884438,90.0,250.77915006501075
0.08,-8.763066800438637,-50.0,189.6350734820343,38.76165984777261,90.0,111.17989769383156,128.76165984777262,90.0,126.17989769383156
0.08,6.800000000000002,-50.0,180.0,38.30827563272772,90.0,103.0167775794013,128.3082756327277,90.0,103.0167775794013
0.08,6.800000000000002,50.0,180.0,38.30827563272772,90.0,103.0167775794013,51.69172436727228,90.0,256.9832224205987
0.08,-8.763066800438637,50.0,189.6350734820343,38.76165984777261,90.0,111.17989769383156,51.23834015222739,90.0,248.82010230616845
0.1,-8.090169943749475,-50.0,191.75570504584945,37.53870254254441,90.0,113.04810487208157,127.5387025425444,90.0,128.04810487208158
0.1,6.000000000000001,-50.0,180.0,38.57481460013573,90.0,102.99396869012568,128.57481460013574,90.0,102.99396869012568
0.1,6.000000000000001,50.0,180.0,38.57481460013573,90.0,102.99396869012568,51.42518539986427,90.0,257.0060313098743
0.1,-8.090169943749475,50.0,191.75570504584945,37.53870254254441,90.0,113.04810487208157,52.46129745745559,90.0,246.95189512791842
0.12000000000000001,-7.289686274214116,-50.0,193.6909421185738,36.35342105164582,90.0,114.78992473283836,126.35342105164582,90.0,129.78992473283836
0.12000000000000001,5.2,-50.0,180.0,38.83990151483592,90.0,102.97401263077563,128.83990151483593,90.0,102.97401263077563
0.12000000000000001,5.2,50.0,180.0,38.83990151483592,90.0,102.97401263077563,51.16009848516408,90.0,257.02598736922437
