time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
0.0,-0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,117.91379779086434
0.0,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.0,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.0,-0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.02,-0.0,-50.0,182.50666467128607,39.43978353063155,90.0,104.94576748695319,129.43978353063156,90.0,119.94576748695319
0.02,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.02,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.02,-0.0,50.0,182.50666467128607,39.43978353063155,90.0,104.94576748695319,50.56021646936845,90.0,255.05423251304683
0.04,-0.0,-50.0,184.9737977432971,38.34670176971174,90.00000000000001,106.9924947010524,128.34670176971173,89.99999999999999,121.9924947010524
0.04,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.04,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.04,-0.0,50.0,184.9737977432971,38.34670176971174,90.00000000000001,106.9924947010524,51.65329823028826,90.00000000000001,253.0075052989476
0.06,-0.0,-50.0,187.36249105369356,37.26446256083346,90.0,109.02227503993053,127.26446256083346,90.0,124.02227503993053
0.06,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.06,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.06,-0.0,50.0,187.36249105369356,37.26446256083346,90.0,109.02227503993053,52.73553743916654,90.0,250.97772496006945
0.08,-0.0,-50.0,189.6350734820343,36.21091385430361,90.0,111.00127214311333,126.21091385430361,90.0,126.00127214311333
0.08,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.08,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.08,-0.0,50.0,189.6350734820343,36.21091385430361,90.0,111.00127214311333,53.78908614569639,90.0,248.99872785688666
0.1,-0.0,-50.0,191.75570504584945,35.204789126751,90.0,112.89382307579466,125.204789126751,90.0,127.89382307579466
0.1,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.1,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.1,-0.0,50.0,191.75570504584945,35.204789126751,90.0,112.89382307579466,54.795210873249,90.0,247.10617692420533
0.12000000000000001,-0.0,-50.0,193.6909421185738,34.26544800044466,90.0,114.66295509977458,124.26544800044465,90.0,129.6629550997746
0.12000000000000001,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.12000000000000001,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.12000000000000001,-0.0,50.0,193.6909421185738,34.26544800044466,90.0,114.66295509977458,55.73455199955534,90.0,245.3370449002254
0.14,-0.0,-50.0,195.41026485551578,33.41247536588891,90.0,116.2711760478642,123.41247536588891,90.0,131.2711760478642
0.14,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.14,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.14,-0.0,50.0,195.41026485551578,33.41247536588891,90.0,116.2711760478642,56.58752463411109,90.0,243.7288239521358
0.16,-0.0,-50.0,196.8865585100403,32.665113829680934,90.0,117.68158532761394,122.66511382968093,90.0,132.68158532761396
0.16,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.16,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.16,-0.0,50.0,196.8865585100403,32.665113829680934,90.0,117.68158532761394,57.334886170319066,90.0,242.31841467238604
0.18,-0.0,-50.0,198.0965410493204,32.041524474193466,90.0,118.85931399794805,122.04152447419347,90.0,133.85931399794805
0.18,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.18,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.18,-0.0,50.0,198.0965410493204,32.041524474193466,90.0,118.85931399794805,57.958475525806534,90.0,241.14068600205195
0.19999999999999998,-0.0,-50.0,199.02113032590307,31.557904981446903,90.0,119.77323707536696,121.55790498144691,90.0,134.77323707536698
0.19999999999999998,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.19999999999999998,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.19999999999999998,-0.0,50.0,199.02113032590307,31.557904981446903,90.0,119.77323707536696,58.4420950185531,90.0,240.22676292463302
0.21999999999999997,-0.0,-50.0,199.64574501457378,31.22753849387131,90.0,120.39781625095992,121.22753849387131,90.0,135.39781625095992
0.21999999999999997,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.21999999999999997,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.21999999999999997,-0.0,50.0,199.64574501457378,31.22753849387131,90.0,120.39781625095992,58.77246150612869,90.0,239.60218374904008
0.23999999999999996,-0.0,-50.0,199.96053456856544,31.059889787850604,90.00000000000001,120.71484838764496,121.05988978785061,89.99999999999999,135.71484838764496
0.23999999999999996,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.23999999999999996,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.23999999999999996,-0.0,50.0,199.96053456856544,31.059889787850604,90.00000000000001,120.71484838764496,58.94011021214939,90.00000000000001,239.28515161235504
0.25999999999999995,0.0,-50.0,199.96053456856544,31.059889787850604,90.00000000000001,120.71484838764496,121.05988978785061,89.99999999999999,135.71484838764496
0.25999999999999995,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.25999999999999995,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.25999999999999995,0.0,50.0,199.96053456856544,31.059889787850604,90.00000000000001,120.71484838764496,58.94011021214939,90.00000000000001,239.28515161235504
0.27999999999999997,0.0,-50.0,199.64574501457378,31.22753849387131,90.0,120.39781625095992,121.22753849387131,90.0,135.39781625095992
0.27999999999999997,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.27999999999999997,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.27999999999999997,0.0,50.0,199.64574501457378,31.22753849387131,90.0,120.39781625095992,58.77246150612869,90.0,239.60218374904008
0.3,0.0,-50.0,199.02113032590307,31.557904981446903,90.0,119.77323707536696,121.55790498144691,90.0,134.77323707536698
0.3,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
