time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
0.0,-0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,117.91379779086434
0.0,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.0,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.0,-0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.02,-0.0,-50.0,181.25581039058628,39.98509387256257,90.0,103.9260447362978,129.98509387256257,90.0,118.9260447362978
0.02,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.02,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.02,-0.0,50.0,181.25581039058628,39.98509387256257,90.0,103.9260447362978,50.01490612743743,90.0,256.0739552637022
0.04,-0.0,-50.0,182.50666467128607,39.43978353063155,90.0,104.94576748695319,129.43978353063156,90.0,119.94576748695319
0.04,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.04,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.04,-0.0,50.0,182.50666467128607,39.43978353063155,90.0,104.94576748695319,50.56021646936845,90.0,255.05423251304683
0.06,-0.0,-50.0,183.74762629171448,38.89296351592248,90.0,105.96921554652673,128.89296351592247,90.0,120.96921554652673
0.06,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.06,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.06,-0.0,50.0,183.74762629171448,38.89296351592248,90.0,105.96921554652673,51.10703648407752,90.0,254.03078445347327
0.08,-0.0,-50.0,184.9737977432971,38.34670176971174,90.00000000000001,106.9924947010524,128.34670176971173,89.99999999999999,121.9924947010524
0.08,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.08,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.08,-0.0,50.0,184.9737977432971,38.34670176971174,90.00000000000001,106.9924947010524,51.65329823028826,90.00000000000001,253.0075052989476
0.1,-0.0,-50.0,186.18033988749895,37.80313431920591,90.0,108.01157073826641,127.80313431920591,90.0,123.01157073826641
0.1,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.1,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.1,-0.0,50.0,186.18033988749895,37.80313431920591,90.0,108.01157073826641,52.19686568079409,90.0,251.9884292617336
0.12000000000000001,-0.0,-50.0,187.36249105369356,37.26446256083346,90.0,109.02227503993053,127.26446256083346,90.0,124.02227503993053
0.12000000000000001,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.12000000000000001,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.12000000000000001,-0.0,50.0,187.36249105369356,37.26446256083346,90.0,109.02227503993053,52.73553743916654,90.0,250.97772496006945
0.14,-0.0,-50.0,188.51558583130145,36.73294938041942,90.0,110.02031248513481,126.73294938041943,90.0,125.02031248513481
0.14,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.14,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.14,-0.0,50.0,188.51558583130145,36.73294938041942,90.0,110.02031248513481,53.26705061958058,90.0,249.9796875148652
0.16,-0.0,-50.0,189.6350734820343,36.21091385430361,90.0,111.00127214311333,126.21091385430361,90.0,126.00127214311333
0.16,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.16,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.16,-0.0,50.0,189.6350734820343,36.21091385430361,90.0,111.00127214311333,53.78908614569639,90.0,248.99872785688666
0.18,-0.0,-50.0,190.71653589957992,35.700724260838655,90.0,111.96064126271757,125.70072426083865,90.0,126.96064126271757
0.18,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.18,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.18,-0.0,50.0,190.71653589957992,35.700724260838655,90.0,111.96064126271757,54.299275739161345,90.0,248.03935873728244
0.19999999999999998,-0.0,-50.0,191.75570504584945,35.204789126751,90.0,112.89382307579466,125.204789126751,90.0,127.89382307579466
0.19999999999999998,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.19999999999999998,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.19999999999999998,-0.0,50.0,191.75570504584945,35.204789126751,90.0,112.89382307579466,54.795210873249,90.0,247.10617692420533
0.21999999999999997,-0.0,-50.0,192.7484797949738,34.72554604159611,90.0,113.79615891553271,124.72554604159612,90.0,128.79615891553271
0.21999999999999997,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.21999999999999997,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.21999999999999997,-0.0,50.0,192.7484797949738,34.72554604159611,90.0,113.79615891553271,55.27445395840389,90.0,246.20384108446729
0.23999999999999996,-0.0,-50.0,193.69094211857376,34.26544800044468,90.0,114.66295509977456,124.26544800044468,90.0,129.66295509977456
0.23999999999999996,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.23999999999999996,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.23999999999999996,-0.0,50.0,193.69094211857376,34.26544800044468,90.0,114.66295509977456,55.73455199955532,90.0,245.33704490022544
0.25999999999999995,-0.0,-50.0,194.57937254842824,33.82694708452791,90.0,115.48951493464976,123.82694708452792,90.0,130.48951493464978
0.25999999999999995,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.25999999999999995,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.25999999999999995,-0.0,50.0,194.57937254842824,33.82694708452791,90.0,115.48951493464976,56.17305291547209,90.0,244.51048506535022
0.27999999999999997,-0.0,-50.0,195.41026485551578,33.41247536588891,90.0,116.2711760478642,123.41247536588891,90.0,131.2711760478642
0.27999999999999997,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
0.27999999999999997,0.0,50.0,180.0,40.52689647501644,90.0,102.91379779086434,49.47310352498356,90.0,257.08620220913565
0.27999999999999997,-0.0,50.0,195.41026485551578,33.41247536588891,90.0,116.2711760478642,56.58752463411109,90.0,243.7288239521358
0.3,-0.0,-50.0,196.18033988749895,33.02442302792544,90.0,117.00335305825631,123.02442302792544,90.0,132.00335305825632
0.3,0.0,-50.0,180.0,40.52689647501644,90.0,102.91379779086434,130.52689647501643,90.0,102.91379779086434
