time (s),target_x (mm),target_y (mm),target_z (mm),joint_hip (deg),joint_shoulder (deg),joint_knee (deg),servo_hip (deg),servo_shoulder (deg),servo_knee (deg)
0.0,-2.5,-50.0,180.0,41.315167763465,90.0,102.92771450016991,131.315167763465,90.0,117.92771450016991
0.0,2.5,-50.0,180.0,39.72372065798645,90.0,102.92771450016991,129.72372065798646,90.0,102.92771450016991
0.0,2.5,50.0,180.0,39.72372065798645,90.0,102.92771450016991,50.27627934201355,90.0,257.07228549983006
0.0,-2.5,50.0,180.0,41.315167763465,90.0,102.92771450016991,48.684832236535,90.0,257.07228549983006
0.02,-2.4802867532861947,-50.0,182.50666467128607,40.2110052230766,90.0,104.9595866824604,130.2110052230766,90.0,119.9595866824604
0.02,2.3,-50.0,180.0,39.78851600160707,90.0,102.92557684320502,129.78851600160706,90.0,102.92557684320502
0.02,2.3,50.0,180.0,39.78851600160707,90.0,102.92557684320502,50.21148399839293,90.0,257.074423156795
0.02,-2.4802867532861947,50.0,182.50666467128607,40.2110052230766,90.0,104.9595866824604,49.7889947769234,90.0,255.04041331753962
0.04,-2.4214579028215777,-50.0,184.9737977432971,39.08960679846061,90.00000000000001,107.00580152046787,129.0896067984606,89.99999999999999,122.00580152046787
0.04,2.0999999999999996,-50.0,180.0,39.85321775496852,90.0,102.92361734039967,129.8532177549685,90.0,102.92361734039967
0.04,2.0999999999999996,50.0,180.0,39.85321775496852,90.0,102.92361734039967,50.14678224503148,90.0,257.0763826596003
0.04,-2.4214579028215777,50.0,184.9737977432971,39.08960679846061,90.00000000000001,107.00580152046787,50.91039320153939,90.00000000000001,252.99419847953214
0.06,-2.3244412147206286,-50.0,187.36249105369356,37.968636021973126,90.0,109.03467899428695,127.96863602197313,90.0,124.03467899428695
0.06,1.8999999999999995,-50.0,180.0,39.91782576275425,90.0,102.92183598755705,129.91782576275426,90.0,102.92183598755705
0.06,1.8999999999999995,50.0,180.0,39.91782576275425,90.0,102.92183598755705,50.08217423724575,90.0,257.0781640124429
0.06,-2.3244412147206286,50.0,187.36249105369356,37.968636021973126,90.0,109.03467899428695,52.031363978026874,90.0,250.96532100571307
0.08,-2.190766700109659,-50.0,189.6350734820343,36.86686047711942,90.0,111.01242995841531,126.86686047711942,90.0,126.01242995841531
0.08,1.7000000000000004,-50.0,180.0,39.982339869465214,90.0,102.92023278086282,129.98233986946522,90.0,102.92023278086282
0.08,1.7000000000000004,50.0,180.0,39.982339869465214,90.0,102.92023278086282,50.017660130534786,90.0,257.0797672191372
0.08,-2.190766700109659,50.0,189.6350734820343,36.86686047711942,90.0,111.01242995841531,53.13313952288058,90.0,248.9875700415847
0.1,-2.0225424859373686,-50.0,191.75570504584945,35.80397358149666,90.0,112.90346053638606,125.80397358149666,90.0,127.90346053638606
0.1,1.5000000000000002,-50.0,180.0,40.04675991942235,90.0,102.91880771688503,130.04675991942236,90.0,102.91880771688503
0.1,1.5000000000000002,50.0,180.0,40.04675991942235,90.0,102.91880771688503,49.95324008057765,90.0,257.081192283115
0.1,-2.0225424859373686,50.0,191.75570504584945,35.80397358149666,90.0,112.90346053638606,54.19602641850334,90.0,247.09653946361394
0.12000000000000001,-1.822421568553529,-50.0,193.6909421185738,34.800314168288516,90.0,114.67088691011652,124.80031416828851,90.0,129.6708869101165
0.12000000000000001,1.3,-50.0,180.0,40.11108575676906,90.0,102.91756079257364,130.11108575676906,90.0,102.91756079257364
0.12000000000000001,1.3,50.0,180.0,40.11108575676906,90.0,102.91756079257364,49.88891424323094,90.0,257.0824392074264
0.12000000000000001,-1.822421568553529,50.0,193.6909421185738,34.800314168288516,90.0,114.67088691011652,55.199685831711484,90.0,245.3291130898835
0.14,-1.5935599743717241,-50.0,195.41026485551578,33.8764506821414,90.0,116.27732237113095,123.87645068214141,90.0,131.27732237113094
0.14,1.0999999999999999,-50.0,180.0,40.17531722547362,90.0,102.91649200526047,130.17531722547363,90.0,102.91649200526047
0.14,1.0999999999999999,50.0,180.0,40.17531722547362,90.0,102.91649200526047,49.82468277452638,90.0,257.08350799473953
0.14,-1.5935599743717241,50.0,195.41026485551578,33.8764506821414,90.0,116.27732237113095,56.1235493178586,90.0,243.72267762886906
0.16,-1.3395669874474914,-50.0,196.8865585100403,33.05260456924838,90.0,117.68598324106475,123.05260456924839,90.0,132.68598324106475
0.16,0.8999999999999997,-50.0,180.0,40.2394541693317,90.0,102.91560135265883,130.2394541693317,90.0,102.91560135265883
0.16,0.8999999999999997,50.0,180.0,40.2394541693317,90.0,102.91560135265883,49.7605458306683,90.0,257.0843986473412
0.16,-1.3395669874474914,50.0,196.8865585100403,33.05260456924838,90.0,117.68598324106475,56.94739543075162,90.0,242.31401675893525
0.18,-1.0644482289126818,-50.0,198.0965410493204,32.34790739763176,90.0,118.86212179041135,122.34790739763176,90.0,133.86212179041135
0.18,0.7000000000000006,-50.0,180.0,40.30349643196877,90.0,102.91488883286344,130.30349643196877,90.0,102.91488883286344
0.18,0.7000000000000006,50.0,180.0,40.30349643196877,90.0,102.91488883286344,49.69650356803123,90.0,257.0851111671366
0.18,-1.0644482289126818,50.0,198.0965410493204,32.34790739763176,90.0,118.86212179041135,57.65209260236824,90.0,241.13787820958865
0.19999999999999998,-0.7725424859373686,-50.0,199.02113032590307,31.779520052870733,90.0,119.7747293481371,121.77952005287074,90.0,134.7747293481371
0.19999999999999998,0.5000000000000004,-50.0,180.0,40.36744385684241,90.0,102.91435444435028,130.3674438568424,90.0,102.91435444435028
0.19999999999999998,0.5000000000000004,50.0,180.0,40.36744385684241,90.0,102.91435444435028,49.63255614315759,90.0,257.0856455556497
0.19999999999999998,-0.7725424859373686,50.0,199.02113032590307,31.779520052870733,90.0,119.7747293481371,58.22047994712926,90.0,240.2252706518629
0.21999999999999997,-0.46845328646431234,-50.0,199.64574501457378,31.36168633968255,90.0,120.39836842605678,121.36168633968255,90.0,135.39836842605678
0.21999999999999997,0.30000000000000027,-50.0,180.0,40.43129628724494,90.0,102.91399818597642,130.43129628724495,90.0,102.91399818597642
0.21999999999999997,0.30000000000000027,50.0,180.0,40.43129628724494,90.0,102.91399818597642,49.56870371275506,90.0,257.0860018140236
0.21999999999999997,-0.46845328646431234,50.0,199.64574501457378,31.36168633968255,90.0,120.39836842605678,58.63831366031745,90.0,239.60163157394322
0.23999999999999996,-0.15697629882328437,-50.0,199.96053456856544,31.10483615931638,90.00000000000001,120.7149105933217,121.10483615931638,89.99999999999999,135.7149105933217
0.23999999999999996,0.10000000000000009,-50.0,180.0,40.4950535663055,90.0,102.91382005697997,130.4950535663055,90.0,102.91382005697997
0.23999999999999996,0.10000000000000009,50.0,180.0,40.4950535663055,90.0,102.91382005697997,49.5049464336945,90.0,257.08617994302006
0.23999999999999996,-0.15697629882328437,50.0,199.96053456856544,31.10483615931638,90.00000000000001,120.7149105933217,58.89516384068362,90.00000000000001,239.2850894066783
0.25999999999999995,0.1569762988232824,-50.0,199.96053456856544,31.014877632470725,90.00000000000001,120.7149105933217,121.01487763247073,89.99999999999999,135.7149105933217
0.25999999999999995,-0.10000000000000009,-50.0,180.0,40.55871553699268,90.0,102.91382005697997,130.55871553699268,90.0,102.91382005697997
0.25999999999999995,-0.10000000000000009,50.0,180.0,40.55871553699268,90.0,102.91382005697997,49.44128446300732,90.0,257.08617994302006
0.25999999999999995,0.1569762988232824,50.0,199.96053456856544,31.014877632470725,90.00000000000001,120.7149105933217,58.98512236752927,90.00000000000001,239.2850894066783
0.27999999999999997,0.46845328646431095,-50.0,199.64574501457378,31.092806610207113,90.0,120.39836842605678,121.0928066102071,90.0,135.39836842605678
0.27999999999999997,-0.30000000000000027,-50.0,180.0,40.62228204211669,90.0,102.91399818597642,130.6222820421167,90.0,102.91399818597642
0.27999999999999997,-0.30000000000000027,50.0,180.0,40.62228204211669,90.0,102.91399818597642,49.37771795788331,90.0,257.0860018140236
0.27999999999999997,0.46845328646431095,50.0,199.64574501457378,31.092806610207113,90.0,120.39836842605678,58.90719338979289,90.0,239.60163157394322
0.3,0.7725424859373684,-50.0,199.02113032590307,31.334710986088826,90.0,119.7747293481371,121.33471098608882,90.0,134.7747293481371
0.3,-0.5000000000000004,-50.0,180.0,40.68575292433173,90.0,102.91435444435028,130.68575292433172,90.0,102.91435444435028
